Device : ;PAX1000IR2/M
Serial Number : ;M00773008
Firmware Version : ;1.2.1
Software Version : ;1.4.2002.183
Wavelength [nm] : ;1560
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-02-20 13:28:36.32;0.00:00:07:113;0.78;0.19;0.60;0.1917;0.1437;0.03583;0.1116;7.00;18.50;96.77;58.22;77.29;0.1917;0.1855;0.006195;-7.174;-7.317;-22.079;0.89;72.20;
2025-02-20 13:28:36.57;0.00:00:07:368;0.81;0.05;0.58;0.1774;0.1622;0.01087;0.1167;1.92;17.83;112.84;65.80;91.67;0.1774;0.2001;-0.02278;-7.512;-6.987;-99.990;0.91;84.68;
2025-02-20 13:28:36.83;0.00:00:07:622;0.82;0.15;0.56;0.1918;0.1512;0.02722;0.1036;5.10;16.99;96.57;53.98;80.07;0.1918;0.1853;0.006584;-7.171;-7.322;-21.815;0.91;75.27;
2025-02-20 13:28:37.08;0.00:00:07:876;0.81;0.07;0.59;0.1777;0.1607;0.0143;0.1174;2.54;18.02;112.28;66.06;90.79;0.1777;0.1996;-0.02183;-7.502;-6.999;-99.990;0.90;83.06;
2025-02-20 13:28:37.33;0.00:00:08:129;0.84;0.17;0.51;0.174;0.1705;0.03518;0.1045;5.83;15.49;116.70;60.07;100.05;0.174;0.2031;-0.02906;-7.594;-6.924;-99.990;0.92;71.40;
2025-02-20 13:28:37.59;0.00:00:08:386;0.85;0.09;0.52;0.1979;0.1522;0.01614;0.09351;3.03;15.71;90.60;47.24;77.31;0.1979;0.1793;0.0186;-7.035;-7.464;-17.304;0.92;80.21;
2025-02-20 13:28:37.84;0.00:00:08:639;0.72;0.20;0.66;0.1954;0.1326;0.03623;0.1208;7.64;20.66;93.66;61.84;70.34;0.1954;0.183;0.01239;-7.091;-7.375;-19.070;0.86;73.31;
2025-02-20 13:28:38.10;0.00:00:08:895;0.72;0.10;0.69;0.2028;0.1259;0.01838;0.1209;4.15;21.77;86.56;59.63;62.74;0.2028;0.1756;0.02726;-6.929;-7.556;-15.644;0.86;81.36;
2025-02-20 13:28:38.35;0.00:00:09:149;0.83;-0.02;0.56;0.1865;0.1544;-0.003492;0.1039;-0.65;16.96;99.79;55.67;82.81;0.1865;0.1861;0.0003963;-7.292;-7.301;-34.020;0.91;91.93;
2025-02-20 13:28:38.61;0.00:00:09:405;0.83;0.01;0.56;0.2042;0.1428;0.001883;0.09762;0.38;17.17;84.74;47.81;69.96;0.2042;0.173;0.03116;-6.900;-7.619;-15.064;0.91;88.90;
2025-02-20 13:28:38.86;0.00:00:09:658;0.86;0.04;0.51;0.1799;0.1663;0.008681;0.09909;1.49;15.38;107.71;55.08;92.56;0.1799;0.1938;-0.01386;-7.450;-7.128;-99.990;0.93;84.99;
2025-02-20 13:28:39.12;0.00:00:09:913;0.78;-0.01;0.62;0.183;0.1529;-0.002522;0.1218;-0.47;19.26;106.84;66.55;83.59;0.183;0.1955;-0.01252;-7.375;-7.088;-99.990;0.89;91.19;
